NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-1124,2021.0,4.0,6,Ametista,5.0,6.0,8.6,7.9,5.6,8.1,8.4,7.264,0,Promovido de Fase,-2.0
ALUNO-1126,2021.0,3.0,4,Quartzo,5.0,4.0,3.3,7.1,7.5,6.7,4.8,5.047,0,Mantido na Fase atual,-1.0
ALUNO-1127,2018.0,3.0,3,Ametista,10.0,5.5,7.8,9.2,6.3,7.9,7.8,7.547,0,Mantido na Fase atual,0.0
ALUNO-1128,2018.0,4.0,5,Ametista,5.0,8.1,8.9,9.2,5.0,8.8,8.9,7.961,0,Promovido de Fase,-1.0
ALUNO-1129,2019.0,2.0,2,Ametista,10.0,4.6,7.9,6.8,6.9,7.7,8.1,7.261,0,Mantido na Fase atual,0.0
ALUNO-1130,2019.0,2.0,3,Topázio,5.0,9.5,10.0,10.0,7.5,9.8,9.9,9.107,1,Promovido de Fase,-1.0
ALUNO-1131,2019.0,3.0,4,Ágata,5.0,4.1,5.6,7.1,7.5,6.9,6.0,5.774,0,Mantido na Fase atual,-1.0
ALUNO-1132,2019.0,7.0,8,Ametista,5.0,8.0,8.6,7.1,7.5,8.3,7.4,7.584,0,Promovido de Fase + Bolsa,-1.0
ALUNO-1136,2019.0,4.0,5,Topázio,5.0,8.2,9.2,8.8,7.5,8.8,9.1,8.292,1,Promovido de Fase,-1.0
ALUNO-1139,2019.0,3.0,4,Ágata,5.0,5.0,5.8,8.8,7.5,7.5,7.3,6.497,0,Promovido de Fase,-1.0
ALUNO-1140,2021.0,5.0,7,Ágata,5.0,5.5,6.1,7.5,7.5,7.8,7.2,6.545,0,Promovido de Fase + Bolsa,-2.0
ALUNO-1141,2019.0,2.0,4,Ametista,5.0,6.9,5.0,7.4,7.5,8.1,8.9,6.969,0,Promovido de Fase,-2.0
